category,top_keys
政治,"[('江啟臣', 12), ('林佳龍', 9), ('王育敏', 8), ('蔡英文', 6), ('蔡宜芳', 6), ('史順文', 5), ('沈伯洋', 5), ('佳安道', 4), ('陳時中', 4), ('張益贍', 4), ('吳玉琴', 4), ('蘇貞昌', 3), ('柯思畢', 3), ('吳志超', 2), ('顏寬恒', 2), ('李彥秀', 2), ('柯志恩', 2), ('連勝文', 2), ('李問', 2), ('蔡壁如', 2), ('邱顯智', 2), ('Kolas Yotaka', 2), ('歐江安', 1), ('賴甘霖', 1), ('賴清德', 1), ('宗保祿六世', 1), ('Pope Francis', 1), ('張博雅', 1), ('Arnaldo Catalan', 1), ('謝武樵', 1), ('陳建仁', 1), ('Fernando Filoni', 1), ('德雷莎', 1), ('李善植', 1), ('林孟汝', 1), ('沈榮津', 1), ('吳柏緯', 1), ('蔡芃敏', 1), ('楊凱翔', 1), ('吳釗燮', 1), ('王浩宇', 1), ('鄭永柱', 1), ('林全能', 1), ('王惠美', 1), ('李哲華', 1), ('許毓仁', 1), ('邱大展', 1), ('陳以信', 1), ('Omer Caspi', 1), ('Facebook', 1), ('邱臣遠', 1), ('賴香伶', 1), ('張其祿', 1), ('高虹安', 1), ('谷辣斯．尤達卡', 1)]"
科技,"[('趙士銘', 7), ('林信嘉', 4), ('高葛', 4), ('辛赫', 4), ('朱士維', 3), ('戈爾', 3), ('杜奕瑾', 3), ('林雅芳', 3), ('劉思泰', 3), ('甘迺迪', 3), ('唐鳳', 2), ('耶夫拉', 2), ('Phil Schiller', 1), ('希勒', 1), ('楊尚達', 1), ('詹明哲', 1), ('朱麗安', 1), ('李夢麟', 1), ('吳順吉', 1), ('林彥穎', 1), ('Anish Goel）', 1), ('黎克特', 1), ('Axinya Gog', 1), ('魯本斯', 1), ('Peter Paul Rubens', 1), ('Kirill Richter', 1), ('李友專', 1), ('陳良基', 1), ('劉明維', 1), ('高通', 1), ('許有進', 1), ('Jitendra Singh', 1), ('加岡陽', 1), ('席萬', 1), ('Raymond Greene）', 1), ('程家平', 1), ('陳韻聿', 1), ('蘇思云', 1), ('谷立言', 1), ('Michael Suffredini', 1), ('黃靖貽', 1), ('薩夫雷迪尼', 1), ('馬斯克', 1), ('黃肇雄', 1), ('陳家倫', 1), ('Marta Yebra', 1), ('張正芊', 1), ('Eamonn Kennedy', 1), ('劉婕', 1)]"
運動,"[('林家瑩', 9), ('王柏融', 6), ('侯羿輔', 6), ('王齊麟', 5), ('李洋', 5), ('柯瑞', 5), ('郭阜林', 4), ('廖文男', 4), ('劉成', 3), ('呂政儒', 3), ('曾陶鎔', 3), ('宋家豪', 3), ('潘政琮', 3), ('洛夫', 3), ('王子維', 2), ('黃凱祥', 2), ('王玉譜', 2), ('味全龍', 2), ('鄭鎧文', 2), ('黃聰翰', 2), ('辛哈尼亞', 2), ('巴拉', 2), ('祖文特斯', 2), ('史班根柏格', 2), ('森友哉', 2), ('山川穗高', 2), ('吳念庭', 2), ('李晉緯', 2), ('嚴思祺', 2), ('陳昭聿', 2), ('Rudy Gobert', 2), ('戈貝爾', 2), ('席佛', 2), ('劉成，', 1), ('吉地安', 1), ('蘇卡穆約', 1), ('戴資穎', 1), ('Kevin Sanjaya Sukamuljo', 1), ('李洋剛', 1), ('Pornpawee Chochuwong', 1), ('蘇偉譯', 1), ('周天成', 1), ('張楠', 1), ('李美妙', 1), ('Marcus Fernaldi Gideon', 1), ('謝定峰', 1), ('基恩', 1), ('Marcus Keene', 1), ('吳宗峻', 1), ('陳韻文', 1), ('陳鏞基', 1), ('鄧志偉', 1), ('陳重羽', 1), ('莊玉彬', 1), ('劉基鴻', 1), ('羅里奇', 1), ('艾凡斯', 1), ('巴克利', 1), ('Kentrell Barkley', 1), ('賽森', 1), ('Nick Evans', 1), ('胡綾芳', 1), ('Ajay K Singhania', 1), ('許雅晴', 1), ('李哲輝', 1), ('松原聖彌', 1), ('北村拓己', 1), ('黑川史陽', 1), ('毅敲', 1), ('岡本和真', 1), ('中田翔', 1), ('佐野惠太', 1), ('Gerardo Parra', 1), ('神里', 1), ('陳政一', 1), ('Lyon', 1), ('Mikel Arteta', 1), ('楊昭彥', 1), ('Juventus', 1), ('阿提塔', 1), ('哈德遜-奧多伊', 1), ('林柏安', 1), ('張承中', 1), ('Cory Spangenberg', 1), ('鈴木將平', 1), ('外崎修汰', 1), ('西武', 1), ('木村文紀', 1), ('ANA Inspiration', 1), ('Facebook', 1), ('雷斯勒（Tony Ressler', 1), ('Kevin Love', 1), ('庫班', 1), ('Mark Cuban', 1), ('密契爾', 1), ('LeBron James', 1), ('Stephen Curry', 1), ('Adam Silver', 1), ('詹姆斯', 1), ('Donovan Mitchell', 1)]"
證卷,"[('蔡明翰', 4), ('鐘國忠', 3), ('陳昱婷', 2), ('。川普', 1), ('川普宣布', 1), ('陳彥鈞', 1), ('張佑之', 1), ('陳家倫', 1), ('趙惠娟', 1), ('鈴木英之', 1), ('Hideyuki Suzuki', 1), ('川普', 1), ('李宛諭', 1), ('陳莉蓮', 1)]"
產經,"[('沈榮津', 11), ('黃偉基', 4), ('張維銓', 4), ('彭素玲', 2), ('邱達生', 2), ('陳漢銘', 2), ('張明瑋', 2), ('莫兆鴻', 2), ('趙蔚蘭', 1), ('林孟汝', 1), ('川普', 1), ('劉國強', 1), ('張佑之', 1), ('陳正健', 1), ('隆章琪', 1), ('ShopBack', 1)]"
娛樂,"[('湯姆漢克斯', 15), ('周杰倫', 9), ('蔡阿嘎', 8), ('李權洋', 7), ('李康生', 7), ('麗塔威爾森', 6), ('李英宏', 5), ('賴雅妍', 5), ('路易', 5), ('鳳飛飛', 4), ('Leo王', 4), ('比得兔兔', 4), ('陳庭妮', 4), ('楊謹華', 4), ('瑪丹娜', 4), ('維特', 4), ('麥斯馮西度', 4), ('Rita Wilson', 3), ('Tom Hanks', 3), ('貓王', 3), ('光榮島', 3), ('李之勤', 3), ('徐漢強', 3), ('張文綺', 3), ('薛岳', 2), ('盧映孜', 2), ('Elvis Presley', 2), ('艾維斯普里斯萊', 2), ('楊小黎', 2), ('邵大倫', 2), ('莊絢維', 2), ('洪子鵬', 2), ('姚淳耀', 2), ('黎曼', 2), ('黃靖貽', 2), ('武正晴', 2), ('黃鴻升', 2), ('卡卡', 2), ('陳郁秀', 2), ('呂東熹', 2), ('蕭敬騰', 2), ('林俊傑', 2), ('J. Sheon', 1), ('方大同', 1), ('林美滿', 1), ('馬世芳', 1), ('James Bond', 1), ('詹姆士龐德', 1), ('Peter Rabbit 2: The Runaway', 1), ('奧斯卡', 1), ('嚴思祺', 1), ('侯文婷', 1), ('劉學源', 1), ('Chet Hanks', 1), ('查特漢克斯', 1), ('泰特（Tom Tate', 1), ('台語台', 1), ('饒星星', 1), ('張書偉', 1), ('鄭文堂', 1), ('游安順', 1), ('侯方平', 1), ('安溥', 1), ('侯孝賢', 1), ('白安', 1), ('江建德', 1), ('林憶蓮', 1), ('立川直樹', 1), ('陳綺貞', 1), ('陳德政', 1), ('崔狄安', 1), ('阿甘', 1), ('薩利', 1), ('Adam Ostroy', 1), ('平安康復', 1), ('奧斯特洛伊', 1), ('哈德遜', 1), ('Beatrix Potter', 1), ('The Runaway', 1), ('James Corden', 1), ('Peter Rabbit', 1), ('碧雅翠絲‧波特', 1), ('詹姆士柯登', 1), ('蔡桃貴', 1), ('Warped Tour', 1), ('沙辛', 1), ('Kevin Lyman', 1), ('Bob Dylan）', 1), ('Elvan Sahin', 1), ('山塔那', 1), ('巴布狄倫', 1), ('蔡佳敏', 1), ('Santana', 1), ('尼瑪賈維蒂', 1), ('Pinocchio', 1), ('皮諾丘', 1), ('中井貴一', 1), ('Gundala', 1), ('喬可安華', 1), ('羅倫佐馬托蒂', 1), ('Sabu', 1), ('佐佐木藏', 1), ('馬提歐賈洛尼', 1), ('廣末涼子', 1), ('馬可洛', 1), ('閃電奇俠剛達拉', 1), ('王中皇', 1), ('庹宗華', 1), ('王逸帆', 1), ('高慧君', 1), ('林鶴軒', 1), ('禾浩辰', 1), ('莊豐嘉', 1), ('謝霆鋒', 1), ('艾迪維達', 1), ('Eddie Vedder', 1), ('Madonna', 1), ('蔡明亮', 1), ('王誌成', 1), ('伯格曼', 1), ('Ingmar Bergman', 1), ('布麥斯馮西度', 1), ('陳正健', 1), ('林治平', 1), ('Max Von Sydow', 1), ('冰與火', 1)]"
生活,"[('管中閔', 4), ('陳駿季', 4), ('葉金川', 4), ('楊牧', 3), ('李俊興', 3), ('中閔', 2), ('波索納洛', 2), ('陳時中', 2), ('蘇俊豪', 2), ('譚德塞', 2), ('蕭光宏', 2), ('林惠珊', 2), ('宮崎駿', 1), ('蔡英文', 1), ('川普', 1), ('伊凡卡', 1), ('巴爾', 1), ('杜登', 1), ('鄭麗君', 1), ('佳安道', 1), ('黃麗娟', 1), ('吳柏緯', 1), ('吳佳蓉', 1), ('蔡孟真', 1), ('許志豪', 1), ('廖郁賢', 1), ('林深', 1), ('潘文忠', 1), ('莊人祥', 1), ('林國順', 1), ('蔡岱樺', 1), ('陳翠香', 1)]"
國際,"[('川普', 28), ('張曉雯', 6), ('裴洛西', 5), ('古莫', 5), ('，川普', 4), ('。川普', 4), ('趙立堅', 4), ('盧映孜', 3), ('波索納洛', 3), ('蓋茲', 3), ('菲力普', 3), ('阿特麥爾', 3), ('沃恩加藤', 2), ('李佩珊', 2), ('古特瑞斯', 2), ('黃靖貽', 2), ('比爾', 2), ('納德拉', 2), ('維宏', 2), ('馬克宏', 2), ('伊達戈', 2), ('溫斯坦', 2), ('蕭茲', 2), ('崔天凱', 2), ('阿多殷', 1), ('Kyle Ardoin', 1), ('Fabio Wajngarten', 1), ('Mar-a-Lago', 1), ('Jair Bolsonaro', 1), ('川普數', 1), ('杜雅里克', 1), ('Antonio Guterres', 1), ('Stephane Dujarric', 1), ('曾依璇', 1), ('比爾蓋茲', 1), ('梅琳達', 1), ('Melinda Gates', 1), ('Satya Nadella', 1), ('Alejandro Giammattei', 1), ('賈麥岱', 1), ('Nancy Pelosi', 1), ('Sandrine', 1), ('Olivier Véran', 1), ('Edouard Philippe', 1), ('Emmanuel Macron', 1), ('Anne Hidalgo', 1), ('菘廷', 1), ('Kenneth Weinstein', 1), ('William Hagerty', 1), ('海格提', 1), ('蕭茲（Olaf Scholz', 1), ('Peter Altmaier', 1), ('恩蔻希', 1), ('Lizzie Nkosi', 1), ('David Stilwell）', 1), ('史達偉', 1), ('習近平', 1), ('歐巴馬', 1), ('艾薩（Alex Azar', 1), ('范德賴恩', 1), ('Maria Van Kerkhove', 1), ('范科霍芙', 1), ('Tedros Adhanom Ghebreyesus', 1), ('譚德塞', 1), ('古莫坦', 1), ('Andrew Cuomo）', 1), ('Patrick Foye', 1)]"
社會,"[('沈正哲', 9), ('吳員', 6), ('胡男', 5), ('李承翰', 5), ('劉達鴻', 5), ('鄭男', 3), ('李增文', 2), ('劉家榮', 2), ('黃建華', 1), ('楊女', 1), ('錢男', 1), ('李男', 1), ('李男經', 1), ('林子翔', 1), ('陳嫌', 1), ('徐弘儒', 1), ('謝長夏', 1), ('張俊義', 1), ('，丁男', 1), ('蕭瑞豪', 1), ('黃水願', 1)]"
文化,"[('楊牧', 74), ('周東彥', 8), ('劉克襄', 7), ('須文蔚', 6), ('王靖獻', 5), ('巴哈', 5), ('馬友友', 5), ('游珮芸', 5), ('蕭敬騰', 5), ('王惠美', 4), ('蔡焜霖', 4), ('吳密察', 4), ('胡淑雯', 4), ('許澤雄', 4), ('魚夫', 4), ('葉珊', 3), ('周見信', 3), ('清水', 3), ('平路', 3), ('林家文', 3), ('鄭麗君', 2), ('余光中', 2), ('馬悅然', 2), ('葉慈', 2), ('Nils Goran David Malmqvist', 2), ('陳芳明', 2), ('魯迅', 2), ('川端康成', 2), ('許又方', 2), ('艾德溫', 2), ('張靜如', 2), ('周立涵', 2), ('詹冰', 2), ('蔡其昌', 2), ('萬美玲', 2), ('黃國書', 2), ('林奕華', 2), ('唐鳳', 2), ('Daigo', 2), ('黃明川', 2), ('奇維金瑪凱', 2), ('蔡英文', 1), ('William Butler Yeats', 1), ('王文興', 1), ('葉維廉', 1), ('白先勇', 1), ('楊牧熟稔', 1), ('文哲所', 1), ('黃春明', 1), ('羅智成', 1), ('陳義芝', 1), ('焦桐', 1), ('周作人', 1), ('夏宇', 1), ('葉步榮', 1), ('瘂弦', 1), ('沈燕士', 1), ('莊研育', 1), ('陳澤昭', 1), ('宜琴', 1), ('鄭順聰', 1), ('翁稷安', 1), ('趙靜瑜', 1), ('陳政偉', 1), ('夏盈盈', 1), ('雲舟', 1), ('文蔚', 1), ('楊牧聽', 1), ('楊牧學', 1), ('Martyn Myer Arena', 1), ('史蒂芬', 1), ('Stephen Armstrong', 1), ('Edwin Kemp Attrill', 1), ('吳季娟', 1), ('Dmitri Alexeev', 1), ('謝維庭', 1), ('蘇思妤', 1), ('陳涵', 1), ('段欣妤', 1), ('德米特里‧阿列克席耶夫', 1), ('阿格麗希', 1), ('林灝維', 1), ('Dang Thai Son', 1), ('張凱閔', 1), ('鄧泰山', 1), ('沈孟生', 1), ('徐芷筠', 1), ('陳薩', 1), ('蕭邦', 1), ('Martha Argerich', 1), ('葉士賢', 1), ('Bizzy Bear', 1), ('王品', 1), ('張西', 1), ('金智英', 1), ('吳姍儒', 1), ('鍾明軒', 1), ('徐耀昌', 1), ('詹錦章', 1), ('范佐銘', 1), ('詹冰外孫', 1), ('陳建騏', 1), ('張廖萬堅', 1), ('吳思瑤', 1), ('春山', 1), ('陳俊宏', 1), ('童偉格', 1), ('莊瑞琳', 1), ('陳侑汝', 1), ('周家寬', 1), ('王絲涵', 1), ('汪鈞翌', 1), ('鍾琪', 1), ('李曼', 1), ('王意萱', 1), ('于浩威', 1), ('許照慈', 1), ('李明潔', 1), ('蔡邵桓', 1), ('方智', 1), ('Francesco Cirillo', 1), ('許龍陞', 1), ('魚夫人', 1), ('昶鴻', 1), ('許馬', 1), ('黃金蛋', 1), ('吳國棟', 1), ('倪敏然', 1), ('陳松勇', 1), ('崔廣宇', 1), ('Kivilcim Akay', 1), ('黃敏惠', 1)]"
